userhash,exampoints, bonus_points, projekt
fe7b8018a6205f9b920f24d1c25e35f3, 15, 20, 0
84d826c5fc2abef05f7d5d3d64d2c2b8, 13, 20, 1
b4cf91ade69d7f3a8fcbfdf9c9972258, 13, 20, 0
dd0f8efec8339a817bcdf3cc62086d5b, 13, 24, 1
7f744d4da152ab20113870b8504399f3, 13, 24, 1
269add8e330fee24039f1d447f2671cb, 9, 21, 1
f43ed9a4ed4297f0c17699ff24b000f7, 9, 20, 0
af48f1ace1c0ff089674906ba7006688, 9, 20, 1
30a92889c4f23767c83395ba12b7d811, 9, 18, 1
b9c6bc888dcac04620b200c13d30cd0a, 9, 23, 1
8fdd1012662dd9e8558c10d656611eb9, 9, 20, 1
9d6c80992e9226cfd82054755b804201, 9, 21, 0
1a055d242c74dddcec84892cdbe912cb, 9, 21, 1
2b4c3ff7b67ca1295079a604c51a64f0, 10, 20, 1
67df94d887f07e344af6e172fe02d7e7, 10, 20, 1
56af9ef46a53c908cc1634acbcc4188c, 11, 20, 1
996c273e6258f35d62d58bd348732c74, 8, 24, 1
6022650efea896d68dfcaea6d3376832, 8, 18, 1
800ccfe2488ca2d9b0efe7b50e9b2aa5, 8, 23, 1
e417446ea06eb4952536cca056204863, 8, 21, 1
fab2f23d6a97cf8db1527ed2f00a0f18, 7, 20, 1
06584bf2b83dee67fa1f18194f43dc72, 7, 20, 1
f73e0dd6a94e82a5be4ae8ccf7860ac6, 7, 21, 1
40c9ea3b94328f60f395afa184260677, 6, 0, 0
8e1cca85b289af2e5d83fd714f1c5c22, 6, 22, 0
90cf66509b4f70a93818814f4ba975ef, 6, 24, 1
e3bf626f693adb69e5b94503944f685d, 6, 21, 1
c365a0f231b13802fb478ba8cb1bde6e, 6, 20, 0
f1165a649663edf3fe5912efa13ea6c2, 6, 18, 1
e1426fd7278bf30d9bb36a52429ffde2, 6, 21, 0
245dd3bb4bed6a3875e42cb4960d85f3, 6, 21, 1
c2d3926f459c0d984e9772b49abd3145, 6, 21, 1
2866f2dce9b6e1180716d0195137d790, 6, 20, 0
a19587b6416f0a9de09ded597bb969dc, 6, 20, 1
1ae624e9f64a5c953f77a87be462204e, 6, 20, 1
bed0aa4abfaaf792a7a0b03fa5e9131c, 6, 23, 1
a3f2138471eaaba411f044d7b6424621, 6, 20, 1
1e7489c3b3b8ae57f566b2d69c8a8d6f, 6, 20, 0
c8def22df90930add2f7eaa8e1d045eb, 5, 4, 0
ef19575eff4dcfed22fca4b4ace50592, 5, 20, 1
a74c25c26b76da5e2b3e529ea7c89af4, 5, 20, 0
58ea9ff367920b2eefeaeee6bcdad17c, 5, 0, 0
704ea30bb0bb481068f11db1d5968d37, 5, 16, 0
09f331a05f90d75a93bbdce46e486280, 5, 20, 1
48250328ad8ec8762848baf71b0fb9ae, 5, 0, 0
831ee8e3b7b549cfbd6642fe8bbf524f, 5, 19, 1
1c7e890cbed6e15ee42c51219605287c, 5, 21, 0
f2c23f34319b8b5a9c97d29a3f72b625, 5, 20, 0
6a813f8c653c5660b7344365d6f47996, 5, 21, 1
de38347402ec6b96a199c42d483ec4f6, 5, 17, 0
9fa5aed7f7d4558dc46555b1578e33b0, 5, 19, 0
e0a409d0f2342b1d0624977689d25c39, 5, 15, 0
6b7f0b3bdb6a4b7607c9ec72b4b36b75, 5, 0, 1
644d04bb4c48f117cf8e239a715ed4f1, 5, 20, 0
1d635c9f91c69f9a2606da4696eca94f, 5, 20, 0
fa5c59df5ac2a03cd0b8b1ce339f6a24, 5, 20, 0
a9c33e15dcd75c0adce91a375dc7f74c, 5, 20, 0
1649c33f6848dae8fdfcf645a97b525f, 5, 20, 1
7939ed3b831a9c5d0d46744177bf9527, 5, 20, 0
402fc9a27261113be6bc0e03b2f031e9, 5, 22, 0
9389ce57bcf6541b1123dd6fcf1295c0, 5, 22, 1
437eb6df69b28a6a47d3250d306ac427, 5, 21, 1
8eb017ded67f85841eccb110f8141f13, 4, 20, 1
9b3374f961e4aed35b0e56a785bdbeab, 4, 16, 0
8542debff98fcce59fcaf1d72e7e9dec, 4, 0, 0
f82bb252ebbe2bd5aac37b84c595b118, 4, 6, 0
917e235ae37bdd922458185a4f355c5a, 4, 23, 0
3852a22589e1d6eac262a03af7669456, 4, 20, 0
7045617b05666b9ebc248328bf7635b9, 3, 19, 1
87234468c4fce65bc890bbb63204ef27, 3, 20, 0
d4b6f71a7ed861e9436470114e0cdc42, 3, 20, 0
aaf24d62ecbbea75f24730b022ebc1b0, 3, 0, 1
9b7a10951141d96b7314cd2229115624, 3, 19, 0
4fe6284f68231ea07e793bd51b1c1933, 3, 13, 1
1f458f1b435e7711e7ca12d83a977b9b, 3, 20, 0
f172fc787d862b665e986963dd9118be, 3, 20, 0
eac62915f3dfe6c542043fb4f219ae62, 3, 4, 0
452e968b482be0e3822352b7a177d6d4, 3, 22, 1
6850edb35e2671d7c1fe5dcfce89f458, 3, 19, 1
b234ec1c38322a4ea105687bc038db6c, 3, 0, 0
